"","Date","Open","High","Low","Last","Change","Settle","Volume","Open Interest"
"269",2015-09-02,403,404.25,400,401.25,1,402.5,119,2419
"270",2015-09-01,406.75,406.75,404.75,404.75,6.25,403.5,71,2407
"271",2015-08-31,409,411,408,408,0.25,409.75,32,2383
"272",2015-08-28,409.5,413,409.5,410.5,NA,409.5,4,2387
"273",2015-08-27,407.75,411,407.75,411,3.5,409.5,32,2386
"274",2015-08-26,406.25,409.75,405.5,405.5,1.75,406,11,2385
"275",2015-08-25,414.5,416.75,406.5,407.75,3.75,407.75,84,2403
"276",2015-08-24,411,414,401.75,414,1,411.5,323,2297
"277",2015-08-21,414,415.25,408.75,411,2.5,410.5,151,2273
"278",2015-08-20,411.75,414,410,413.5,4.5,413,32,2266
"279",2015-08-19,412.25,413.5,412.25,412.5,1,408.5,20,2268
"280",2015-08-18,407,409.5,407,407,0.25,409.5,40,2288
"281",2015-08-17,409.5,412,408,409.5,NA,409.25,11,2291
"282",2015-08-14,409.5,410.75,406.5,410,0.25,409.25,53,2300
"283",2015-08-13,401,410,400,408,9,409.5,196,2304
"284",2015-08-12,409.5,415.75,390,400.25,8.75,400.5,319,2291
"285",2015-08-11,418,418,414.5,414.75,11.25,409.25,18,2285
"286",2015-08-10,415.75,417.5,415.75,417.5,11.5,420.5,31,2272
"287",2015-08-07,405.25,409.75,405,409.75,2.25,409,113,2233
"288",2015-08-06,408.25,409.75,408,408.25,2.25,406.75,216,2181
"289",2015-08-05,NA,408.75,NA,408.5,3.25,409,10,2190
"290",2015-08-04,404.5,406.5,403.75,405.5,3.5,405.75,305,2106
"291",2015-08-03,400,403,400,402.75,3.25,402.25,25,2090
"292",2015-07-31,408,409.25,405.5,406,2,405.5,172,2102
"293",2015-07-30,405.5,405.75,400,405.5,4.75,407.5,58,2104
"294",2015-07-29,403.5,403.5,403,403,4.75,402.75,11,2101
"295",2015-07-28,405.5,406.25,404.5,404.5,2.25,407.5,488,2094
"296",2015-07-27,416.25,416.25,405,407.5,12.5,405.25,271,2050
"297",2015-07-24,423.5,423.5,418.5,419.25,7.75,417.75,39,2055
"298",2015-07-23,425,426.25,423,424.25,0.25,425.5,9,2055
"299",2015-07-22,422.75,428.25,422,425.5,2.75,425.75,32,2043
"300",2015-07-21,427.25,427.25,426.25,426.25,0.5,428.5,10,2042
"301",2015-07-20,432.5,435.25,430,430,10,428,35,2037
"302",2015-07-17,441,443,436,437.5,4.75,438,51,2013
"303",2015-07-16,447,450,442.5,442.5,3,442.75,34,2009
"304",2015-07-15,445.75,446,443,444.25,0.25,445.75,65,1979
"305",2015-07-14,454,454,444.75,444.75,8.25,446,26,1964
"306",2015-07-13,451.5,455,448.25,455,5.5,454.25,53,1974
"307",2015-07-10,447,451.75,447,448.25,1.25,448.75,194,1818
"308",2015-07-09,444,450,444,448.25,4,447.5,81,1766
"309",2015-07-08,440.75,445,440.5,443.5,1,443.5,58,1738
"310",2015-07-07,445.25,445.5,439,442,4,442.5,106,1737
"311",2015-07-06,443.25,447.75,440,NA,1.25,446.5,176,1731
"312",2015-07-02,440.75,445,440,NA,4,445.25,151,1703
"313",2015-07-01,437,443,435.5,NA,1.75,441.25,243,1675
"314",2015-06-30,427,440,425,NA,14.75,439.5,176,1671
"315",2015-06-29,426,431,425.25,NA,2,424.75,162,1630
"316",2015-06-26,425,435,425,NA,1.5,426.75,292,1634
"317",2015-06-25,420,425,420,NA,8.5,425.25,156,1565
"318",2015-06-24,417.75,420.5,417,NA,1,416.75,223,1597
"319",2015-06-23,415,418.5,414.5,NA,4,417.75,138,1486
"320",2015-06-22,407.75,413,406.5,NA,5.75,413.75,45,1453
"321",2015-06-19,407.25,407.25,407.25,NA,3.75,408,7,1452
"322",2015-06-18,412.75,412.75,412,NA,1,411.75,209,1358
"323",2015-06-17,412,412.5,412,NA,4.75,412.75,13,1359
"324",2015-06-16,405,407.25,403.5,NA,4.25,408,175,1313
"325",2015-06-15,406.75,406.75,404,NA,4,403.75,43,1312
"326",2015-06-12,409,409,408.75,NA,3.5,407.75,30,1288
"327",2015-06-11,411,411,408.5,NA,NA,411.25,39,1251
"328",2015-06-10,414.25,415,413,NA,6,411.25,91,1213
"329",2015-06-09,415,417.25,415,NA,NA,417.25,64,1184
"330",2015-06-08,414.5,416.25,414.5,NA,4.75,417.25,9,1187
"331",2015-06-05,413.75,417,413.75,NA,2,412.5,29,1188
"332",2015-06-04,410,414,409.75,NA,3.75,414.5,17,1203
"333",2015-06-03,410,410,409.25,NA,2,410.75,41,1212
"334",2015-06-02,404.5,409.5,404.5,NA,5.5,408.75,84,1155
"335",2015-06-01,403.25,403.25,403.25,NA,0.25,403.25,113,1107
"336",2015-05-29,NA,NA,NA,NA,2.25,403,5,1102
"337",2015-05-28,401,402,401,NA,3.75,405.25,205,1024
"338",2015-05-27,404.5,404.5,401,NA,5,401.5,186,960
"339",2015-05-26,405.75,406.25,405.75,NA,3.5,406.5,65,920
"340",2015-05-22,409,411,408.75,NA,1.75,410,325,793
"341",2015-05-21,408,411.25,408,NA,3.25,411.75,85,780
